"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_LIFE","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_GI","N_MED","N_LI","ANP_OUTLIER","BIN_POLICY","BIN_VIT","BIN_ANP","BIN_ANP_B","BIN_ANP_R","BIN_LIFE","BIN_ENDOWMENT","BIN_ACCIDENT","BIN_CI","BIN_DISABILITY","BIN_INCOME","BIN_MEDICAL","BIN_OTHERMED","BIN_PAYOR","BIN_SAVERS","cluster","SCORE_LIFE","SCORE_MEDIC","SCORE_OTH"
"1452",2089,17,1,142.929411764706,21.9011764705882,2,121.028235294118,0,0,4,13,2,7,11,0,1,9,9,0,2,3,18,17,9,0,3,2,1,1,2,2,1,3,3,3,3,2,1,2,2,3,1.5,2.25,2.5
"1453",2090,22,8,337.05,26.0418181818182,4,311.008181818182,0,6,10,6,0,9,21,0,7,22,10,5,16,16,53,31,22,2,3,4,4,4,2,4,1,1,4,4,4,3,5,4,4,2,2.5,4,3.25
"1454",2091,37,3,150.542162162162,31.2554054054054,2.37837837837838,119.286756756757,0,3,9,25,0,0,31,0,0,31,17,0,22,11,64,17,31,2,4,3,1,1,2,4,1,1,1,4,1,3,1,4,3,2,2.5,1.5,3
"1455",2092,37,1,695.812972972973,129.559189189189,3.27027027027027,566.253783783784,0,17,16,4,0,11,30,0,0,33,15,0,22,30,82,26,33,16,4,2,5,5,5,4,1,1,4,4,1,3,1,4,5,1,2.5,2.25,3.5
"1456",2093,26,0,194.976538461538,41.5307692307692,1.65384615384615,153.445769230769,0,0,23,3,0,3,3,0,1,3,24,10,1,1,5,38,3,2,3,1,2,2,3,2,1,1,2,1,3,4,5,1,1,3,1.5,3.5,1
"1457",2094,262,11,977.374923664121,202.761259541985,2.8969465648855,774.613664122136,9,35,134,84,73,61,105,0,62,109,150,31,98,109,385,304,109,84,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5
"1458",2095,40,0,464.6745,152.058,3.6,312.6165,3,1,15,21,14,16,23,0,5,23,22,2,23,23,83,45,23,10,4,1,5,4,5,4,1,5,4,4,4,4,4,4,4,1,2.5,4,4.25
"1459",2096,112,43,332.841428571429,87.5230357142857,2.33035714285714,245.318392857143,4,12,49,47,24,38,54,2,0,49,28,25,36,38,152,91,51,17,5,5,4,4,4,5,5,5,5,5,1,4,5,5,5,5,5,3.75,5
"1460",2097,85,9,415.432,42.0117647058823,4.16470588235294,373.420235294118,4,15,52,14,23,41,66,0,27,66,59,2,40,64,193,129,66,12,5,5,5,5,3,5,1,5,5,5,5,5,4,5,5,5,3,4.75,5
"1461",2098,100,0,276.853,87.5127,4.11,189.3403,0,4,82,14,1,56,79,2,2,77,86,4,21,75,176,148,79,9,5,1,3,3,4,5,5,3,5,5,3,5,5,4,5,1,5,4.5,4.25
"1462",2099,10,3,245.272,0,6.1,245.272,0,0,6,4,6,4,9,0,7,10,7,0,8,7,30,18,10,0,2,3,3,4,1,3,1,4,3,2,4,2,1,3,3,2,2,2.5,3
"1463",2100,58,6,227.508620689655,68.295,1.82758620689655,159.213620689655,0,2,16,40,1,0,20,2,1,18,36,12,20,6,47,49,20,4,4,4,3,2,4,3,5,3,1,4,3,5,5,4,2,5,4,3.5,3.25
"1464",2101,49,1,156.390204081633,6.27551020408163,1.08163265306122,150.114693877551,0,1,24,24,19,6,16,2,2,14,24,0,3,12,50,32,16,3,4,2,1,2,1,3,5,5,3,3,3,4,1,2,3,1,4,2.75,3.25
"1465",2102,99,20,1470.99787878788,496.542828282828,3.5959595959596,974.455050505051,5,16,37,41,15,26,78,3,22,77,44,3,39,77,209,95,80,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"1466",2103,26,2,352.67,145.324230769231,2.65384615384615,207.345769230769,0,3,3,20,1,9,19,0,0,19,15,0,10,10,40,24,19,1,3,3,4,3,5,4,1,3,4,3,1,3,1,3,3,2,2.5,2.25,3
"1467",2104,83,9,194.979036144578,41.1392771084338,2.96385542168675,153.839759036145,1,3,39,40,0,23,55,0,9,55,57,1,41,34,130,90,55,1,5,5,2,2,3,5,1,1,5,5,5,5,4,5,5,5,3,4.75,4
"1468",2105,85,2,325.49705882353,94.0858823529411,2.55294117647059,231.411176470588,0,10,13,62,1,1,55,2,2,53,53,0,39,40,135,56,55,10,5,3,4,3,4,5,5,3,2,5,3,5,1,5,5,5,5,2.75,4.5
"1469",2108,4,2,358.865,133.1275,4,225.7375,0,1,0,3,0,0,1,0,0,1,1,0,1,0,2,1,1,0,1,3,4,3,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"1470",2111,5,1,875.94,276.24,5.6,599.7,0,3,0,2,0,2,5,0,2,5,2,0,4,5,14,6,5,2,1,2,5,5,5,2,1,1,2,2,3,1,1,2,2,4,1.5,1.75,1.75
"1471",2113,6,2,487.9,17.1833333333333,4.83333333333333,470.716666666667,0,1,5,0,2,4,4,0,0,5,4,0,2,5,13,8,5,2,2,3,5,5,2,2,1,3,3,2,1,2,1,2,2,4,1.5,1.75,2.25
"1472",2114,5,3,901,280.6,4,620.4,1,0,1,3,0,2,5,0,0,5,1,1,3,4,12,4,5,2,1,3,5,5,5,2,1,1,2,2,1,1,4,2,2,4,1.5,2,1.75
"1473",2115,8,0,262.91625,60.21875,1.625,202.6975,0,0,7,1,0,0,3,1,0,2,7,0,3,3,9,7,3,1,2,1,3,3,4,1,4,1,1,1,1,2,1,2,2,4,2.5,1.25,1.5
"1474",2116,2,0,203.2,43.2,6.5,160,0,0,0,2,0,2,2,0,0,2,2,0,2,2,6,4,2,0,1,1,2,2,3,1,1,1,2,1,1,1,1,2,2,3,1,1.25,1.5
"1475",2119,4,0,101.3425,7.01,1.5,94.3325,0,0,0,4,0,0,2,0,0,2,2,0,2,0,4,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1.25
"1476",2122,20,4,97.0705,20.872,2.15,76.1985,0,0,2,18,2,7,16,0,1,16,3,0,6,2,26,11,16,0,3,4,1,1,2,3,1,3,3,3,3,2,1,3,2,2,2,2.25,2.75
"1477",2123,18,1,146.902222222222,14.0666666666667,1.16666666666667,132.835555555556,0,0,13,5,4,3,5,0,0,5,14,0,1,5,15,17,5,1,3,2,1,2,1,2,1,4,2,2,1,3,1,1,2,3,1.5,1.75,2.25
"1478",2124,1,0,300,60,6,240,0,0,1,0,0,0,1,0,1,1,1,0,1,1,3,2,1,0,1,1,4,4,4,1,1,1,1,1,3,1,1,1,1,4,1,1.5,1
"1479",2125,30,2,198.171333333333,46.0113333333333,2.06666666666667,152.16,0,1,5,24,4,5,15,0,0,15,20,0,2,8,29,25,15,2,3,3,2,2,3,3,1,4,3,3,1,4,1,2,3,2,2,2.25,3
"1480",2126,2,0,145.53,0,0.5,145.53,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,2,0,0,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1.25,1
"1481",2128,4,2,149.57,55.39,2,94.18,0,0,0,4,0,2,2,0,0,2,1,0,0,0,2,3,2,0,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1.25,1
"1482",2129,6,0,429.45,150,4,279.45,1,0,3,2,2,3,4,0,0,4,3,1,4,4,14,7,4,3,2,1,5,4,5,2,1,3,2,2,1,2,4,2,2,4,1.5,2.25,2.25
"1483",2131,1,0,300,0,5,300,0,0,1,0,0,0,1,0,0,1,1,0,1,0,2,1,1,0,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"1484",2132,3,1,258.946666666667,78.1966666666667,3.33333333333333,180.75,0,2,0,1,1,0,2,0,0,2,0,0,2,1,6,0,2,0,1,2,3,3,4,1,1,3,1,1,1,1,1,2,1,4,1,1,1.75
"1485",2133,2,2,462.465,37.92,3,424.545,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,3,5,5,3,1,1,1,2,1,1,1,1,1,1,4,1,1.25,1
"1486",2136,1,0,180,90,4,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"1487",2138,5,1,304.646,73.186,4,231.46,0,0,0,5,0,0,5,2,2,3,2,0,3,4,12,4,5,0,1,2,4,3,4,2,5,1,1,2,3,1,1,2,2,4,3.5,1.5,1.75
"1488",2139,16,4,222.363125,51.1725,2.0625,171.190625,0,0,2,14,0,0,13,2,2,11,5,0,8,4,25,7,13,1,2,4,2,3,3,3,5,1,1,3,3,2,1,3,2,2,4,1.75,2.25
"1489",2140,4,1,1046.85,415.35,5,631.5,0,1,2,1,0,1,2,0,0,3,2,0,1,3,6,3,3,1,1,2,5,5,5,2,1,1,2,1,1,1,1,1,2,4,1.5,1.25,1.25
"1490",2142,22,1,657.413636363636,137.977272727273,5.5,519.436363636364,3,0,15,4,0,17,22,0,5,22,17,1,13,11,46,40,22,6,3,2,5,5,5,4,1,1,4,4,4,3,4,4,3,1,2.5,3.75,3
"1491",2143,444,13,227.030045045046,81.9293243243243,3.58783783783784,145.100720720722,0,17,187,240,272,34,224,0,183,227,237,0,223,222,941,454,227,45,5,5,3,2,4,5,1,5,5,5,5,5,1,5,5,5,3,4,5
"1492",2144,98,10,361.483469387755,74.1931632653061,3.5,287.290306122449,0,4,78,16,10,52,60,3,27,61,60,4,38,58,166,143,64,12,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4.75
"1493",2148,102,17,257.66137254902,31.7746078431373,1.74509803921569,225.886764705882,0,3,50,49,30,19,44,2,0,42,58,3,11,37,122,80,44,16,5,5,3,3,2,5,5,5,5,5,1,5,5,3,5,5,5,4,4.5
"1494",2152,48,4,83.5564583333333,21.5179166666667,1.25,62.0385416666666,0,2,5,41,35,1,13,0,6,13,7,0,11,9,68,14,13,1,4,4,1,1,2,3,1,5,2,3,4,2,1,3,3,2,2,2.25,3.5
"1495",2153,4,2,373.6075,119.215,2.75,254.3925,0,0,0,4,0,1,4,3,0,1,0,0,3,3,10,1,4,0,1,3,4,4,5,1,5,1,2,2,1,1,1,2,2,4,3,1.25,1.75
"1496",2154,19,0,356.325263157895,84.99,4.05263157894737,271.335263157895,0,5,9,5,0,9,17,0,0,17,11,0,10,17,44,20,17,4,3,1,4,4,4,3,1,1,4,3,1,3,1,3,4,4,2,2.25,2.75
"1497",2155,72,4,372.1925,62.1284722222222,2.875,310.064027777778,3,2,57,10,1,17,45,0,4,45,59,6,12,43,101,86,45,5,5,4,4,4,4,5,1,3,4,5,4,5,5,4,5,5,3,4.5,4.25
"1498",2156,100,9,142.1042,33.4629,2.99,108.6413,0,1,75,24,25,24,41,0,27,41,82,1,36,27,129,134,41,1,5,5,1,1,3,5,1,5,5,5,5,5,4,5,4,5,3,4.75,4.75
"1499",2157,37,0,117.336486486486,39.387027027027,1.75675675675676,77.9494594594594,0,0,8,29,22,6,13,0,6,13,10,0,8,11,54,22,13,1,4,1,1,1,3,3,1,5,3,3,4,3,1,3,3,1,2,2.75,3.5
"1500",2158,34,0,203.804705882353,50.2520588235294,6,153.552647058824,0,0,32,2,14,16,19,0,19,19,32,2,19,19,71,69,19,0,4,1,2,2,3,4,1,5,4,3,5,4,4,4,4,1,2.5,4.25,4
"1501",2162,38,7,190.162105263158,28.5015789473684,2.28947368421053,161.660526315789,0,4,21,13,5,9,20,0,3,19,20,2,15,13,53,34,19,1,4,4,2,2,2,4,1,4,4,4,4,4,4,4,3,2,2.5,4,3.75
"1502",2163,24,1,212.923333333333,41.8966666666667,1.16666666666667,171.026666666667,0,1,20,3,0,3,4,0,0,4,20,2,1,2,7,25,4,2,3,2,2,3,3,2,1,1,2,2,1,4,4,1,2,4,1.5,2.75,1.5
"1503",2164,56,6,263.32375,44.0966071428572,2.96428571428571,219.227142857143,0,0,51,5,0,13,23,0,0,22,49,7,20,21,64,69,22,7,4,4,3,3,3,4,1,1,4,4,1,5,5,4,4,2,2.5,3.75,3.25
"1504",2165,33,0,258.785151515151,24.7221212121212,3.87878787878788,234.06303030303,0,1,20,12,0,21,24,0,1,24,30,3,15,23,62,55,24,0,4,1,3,3,2,4,1,1,5,4,3,4,5,4,4,1,2.5,4.25,3.25
"1505",2166,26,2,462.313461538462,90.3388461538461,2,371.974615384615,3,1,9,13,0,5,19,8,0,12,11,1,3,12,34,17,20,5,3,3,5,5,4,3,5,1,3,3,1,3,4,2,3,2,4,2.75,2.25
"1506",2167,17,2,1138.22117647059,352.211764705882,3.05882352941176,786.009411764706,0,5,4,8,3,2,13,0,0,13,7,0,1,12,29,9,13,11,3,3,5,5,5,3,1,4,2,3,1,2,1,1,3,4,2,1.5,2.75
"1507",2168,186,26,236.238655913979,65.8289247311828,1.59139784946237,170.409731182796,5,14,41,126,97,53,67,2,8,65,37,3,12,54,230,101,67,30,5,5,3,2,4,5,5,5,5,5,4,5,5,4,5,5,5,4.75,4.75
"1508",2169,44,5,459.528636363636,191.058409090909,3.38636363636364,268.470227272727,2,1,31,10,0,14,34,1,0,33,32,1,23,27,84,47,34,13,4,4,5,4,5,4,4,1,4,4,1,4,4,4,4,5,4,3.25,3.25
"1509",2171,2,0,188.445,42.815,0.5,145.63,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,2,2,3,1,4,1,1,1,1,1,1,1,1,3,2.5,1,1
"1510",2172,32,2,339.864375,45.333125,4.1875,294.53125,3,2,20,7,1,17,27,1,3,26,20,3,24,27,79,43,27,2,3,3,4,4,3,4,4,3,4,4,4,4,5,5,4,5,4,4.25,4
"1511",2174,20,6,328.025,16.4135,2.55,311.6115,0,1,16,3,0,6,13,0,0,12,14,4,2,12,27,24,12,3,3,4,4,4,2,3,1,1,3,3,1,3,5,2,3,2,2,3,2.25
"1512",2177,34,10,301.516470588235,64.6017647058824,3.47058823529412,236.914705882353,1,2,20,11,7,14,22,1,0,20,21,14,16,19,64,49,21,4,4,5,4,4,4,4,4,4,4,4,1,4,5,4,4,5,4,3.5,4
"1513",2178,85,2,161.009058823529,4.55611764705882,1.38823529411765,156.45294117647,0,0,24,61,58,18,19,0,10,19,26,0,17,18,112,54,19,21,5,3,2,2,1,4,1,5,5,3,5,4,1,4,4,1,2.5,3.75,4
"1514",2179,20,11,398.2905,14.5995,5.05,383.691,0,3,13,4,1,13,17,0,2,17,16,9,17,17,52,40,17,1,3,5,4,5,2,3,1,3,4,3,3,3,5,4,4,2,2,3.75,3.5
"1515",2180,38,4,378.847368421053,51.4871052631579,2.52631578947368,327.360263157895,0,2,25,11,7,4,17,0,0,18,29,1,16,18,58,34,18,6,4,4,4,5,3,3,1,4,3,3,1,4,4,4,4,2,2,3,3.75
"1516",2183,15,2,392.9,56.658,3.93333333333333,336.242,0,2,9,4,4,4,12,0,0,13,11,0,6,12,34,15,13,1,2,3,4,5,3,3,1,4,3,3,1,3,1,3,3,4,2,2,3.25
"1517",2184,25,12,326.9172,102.22,6.28,224.6972,0,3,11,11,1,16,25,0,2,25,20,0,21,24,71,38,25,5,3,5,4,3,5,4,1,3,4,4,3,4,1,4,4,2,2.5,3,3.75
"1518",2187,40,1,244.51425,63.39075,2.475,181.1235,0,1,28,11,5,9,11,0,0,11,34,3,11,11,38,46,11,7,4,2,3,3,4,3,1,4,4,3,1,4,5,3,3,1,2,3.5,3.25
"1519",2189,32,11,208.501875,71.40875,4,137.093125,0,0,14,18,0,6,26,2,0,24,23,0,10,23,59,29,26,0,3,5,2,2,4,4,5,1,3,4,1,4,1,3,4,2,4.5,2.25,3
"1520",2190,90,8,518.916,97.5112222222222,3.3,421.404777777778,7,7,30,46,35,34,60,3,10,58,36,6,46,51,192,86,61,27,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"1521",2191,59,23,266.063559322034,120.48593220339,2.38983050847458,145.577627118644,1,3,41,14,9,12,26,0,0,27,41,16,5,24,64,69,27,11,4,5,3,2,5,4,1,4,4,4,1,5,5,2,4,2,2.5,3.75,3.5
"1522",2192,48,0,271.333333333333,13.3416666666667,3.47916666666667,257.991666666667,0,9,26,13,9,20,30,0,0,31,32,2,30,31,100,54,31,2,4,1,3,4,1,4,1,4,5,4,1,4,4,5,5,1,2.5,3.5,4.5
"1523",2193,85,4,381.068117647059,79.1868235294118,4.75294117647059,301.881294117647,0,12,47,26,17,37,60,2,44,59,61,3,45,58,180,145,61,13,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"1524",2194,18,7,213.100555555556,73.9927777777778,2.66666666666667,139.107777777778,0,3,0,15,1,1,10,3,0,7,3,0,4,6,21,4,10,0,3,4,2,2,4,2,5,3,2,3,1,2,1,2,2,2,3.5,1.5,2.5
"1525",2195,66,6,299.781818181818,80.5028787878788,2.8030303030303,219.278939393939,1,0,51,14,18,11,25,2,7,25,54,1,19,25,87,73,27,17,5,4,4,3,4,4,5,5,4,4,4,5,4,4,4,5,4.5,4.25,4.25
"1526",2196,107,2,141.069065420561,16.2396261682243,1.01869158878505,124.829439252336,1,1,27,78,71,12,19,3,4,16,30,4,13,18,121,50,19,13,5,3,1,2,2,3,5,5,4,3,4,4,5,4,4,1,4,4.25,4
"1527",2200,6,0,55.3166666666667,0,0,55.3166666666667,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1.75
"1528",2201,23,2,168.272608695652,51.8308695652174,2.34782608695652,116.441739130435,0,2,3,18,2,2,11,0,0,11,13,0,6,6,25,15,11,0,3,3,2,1,3,3,1,3,2,3,1,3,1,3,2,2,2,1.75,2.75
"1529",2202,6,4,140.261666666667,30.4566666666667,2.16666666666667,109.805,0,2,0,4,0,0,4,0,0,4,1,0,4,0,8,1,4,0,2,4,1,1,2,2,1,1,1,2,1,1,1,2,1,3,1.5,1,1.5
"1530",2203,18,6,267.284444444444,28.535,3.83333333333333,238.749444444444,0,0,11,7,1,8,12,1,0,10,12,3,7,8,28,23,11,1,3,4,3,4,2,3,4,3,3,3,1,3,5,3,3,2,3.5,3,3
"1531",2204,111,4,278.055675675676,93.3200900900901,3.07207207207207,184.735585585586,0,7,61,43,25,39,65,4,9,67,58,0,33,68,191,106,71,19,5,4,3,3,4,5,5,5,5,5,5,5,1,5,5,5,5,4,5
"1532",2205,14,7,283.225714285714,128.102857142857,3,155.122857142857,0,1,3,10,0,4,8,0,0,5,3,0,1,3,12,7,5,1,2,4,3,2,5,2,1,1,3,2,1,2,1,1,2,4,1.5,1.75,1.5
"1533",2207,1,0,248.4,120,6,128.4,0,0,1,0,0,0,1,0,1,1,1,0,0,1,2,2,1,0,1,1,3,2,5,1,1,1,1,1,3,1,1,1,1,4,1,1.5,1
"1534",2208,17,17,438.688823529412,32.5258823529412,3.82352941176471,406.162941176471,5,4,8,0,0,7,13,0,0,13,6,9,13,13,39,22,13,2,3,5,5,5,2,3,1,1,3,3,1,2,5,4,3,2,2,2.75,2.75
"1535",2209,6,1,293.833333333333,0,1.66666666666667,293.833333333333,0,0,3,3,3,0,3,0,0,3,3,0,1,3,10,3,3,1,2,2,3,4,1,2,1,4,1,1,1,2,1,1,2,4,1.5,1.25,2
"1536",2211,2,1,291.3,48.2,2.5,243.1,0,1,0,1,0,0,2,0,0,2,0,0,2,1,5,0,2,0,1,2,3,4,3,1,1,1,1,1,1,1,1,2,1,4,1,1,1.25
"1537",2214,3,1,226.11,44.8266666666667,2.33333333333333,181.283333333333,0,1,0,2,0,0,3,0,0,3,0,0,3,1,7,0,3,0,1,2,3,3,3,2,1,1,1,1,1,1,1,2,1,4,1.5,1,1.25
"1538",2216,16,9,513.925,111.0875,3.6875,402.8375,0,2,10,4,3,7,12,0,0,12,8,1,8,12,35,16,12,2,2,5,5,5,5,3,1,4,3,3,1,2,4,3,3,2,2,2.5,3.25
"1539",2217,126,3,274.211031746032,46.6519841269841,3.04761904761905,227.559047619048,0,6,46,74,78,41,52,0,40,53,52,0,52,53,235,133,53,16,5,3,3,3,3,5,1,5,5,5,5,5,1,5,5,5,3,4,5
"1540",2218,17,0,146.772352941176,24.0294117647059,1.05882352941176,122.742941176471,0,0,15,2,0,0,2,0,0,2,15,0,1,0,3,15,2,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,3,1,1.5,1
"1541",2219,46,11,747.779782608696,224.512173913043,3.76086956521739,523.267608695652,10,8,17,11,0,22,36,1,7,35,22,6,27,32,95,57,36,12,4,5,5,5,5,4,4,1,5,4,4,4,5,5,5,5,4,4.5,3.75
"1542",2220,9,0,419.787777777778,79.2877777777778,1.66666666666667,340.5,1,1,7,0,0,1,2,0,0,2,7,2,2,1,5,10,2,3,2,1,5,5,4,1,1,1,2,1,1,2,4,2,1,4,1,2.25,1.25
"1543",2221,27,4,122.987037037037,42.5403703703704,1.81481481481481,80.4466666666667,0,0,1,26,0,1,14,0,0,13,6,0,2,0,16,7,13,0,3,4,1,1,3,3,1,1,2,3,1,2,1,2,1,2,2,1.5,1.75
"1544",2222,71,6,472.055492957747,304.694366197183,1.83098591549296,167.361126760563,1,1,22,47,48,14,20,0,12,20,24,1,17,20,105,51,20,4,5,4,5,2,5,4,1,5,4,4,5,4,4,4,4,5,2.5,4.25,4.25
"1545",2223,40,8,264.89,65.6885,2.125,199.2015,1,3,0,36,0,6,15,1,0,14,19,0,7,7,29,25,15,3,4,4,3,3,4,3,4,1,3,3,1,4,1,3,3,2,3.5,2.25,2.5
"1546",2224,9,4,242.682222222222,97.2133333333333,8.66666666666667,145.468888888889,0,0,8,1,7,8,9,1,7,8,7,0,8,9,33,22,9,0,2,4,3,2,5,2,4,4,3,2,4,2,1,3,3,2,3,2.5,3
"1547",2225,162,6,138.376666666667,21.9780864197531,0.592592592592593,116.398580246914,0,2,40,120,111,10,17,0,1,17,40,3,5,11,144,54,17,17,5,4,1,1,2,3,1,5,4,3,3,5,5,2,3,2,2,4.25,3.25
"1548",2226,1,0,1036.2,0,2,1036.2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"1549",2227,27,2,225.588888888889,73.7937037037037,2.48148148148148,151.795185185185,0,1,12,14,7,6,16,5,6,11,12,1,3,10,36,25,16,5,3,3,2,2,4,3,5,4,3,3,4,3,4,2,3,2,4,3.5,3
"1550",2228,4,2,114.7975,0,1,114.7975,0,0,1,3,0,0,1,0,1,4,1,0,0,1,2,2,4,0,1,3,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1.5,1.5,1
"1551",2229,6,0,92.0116666666667,2.84833333333333,1,89.1633333333333,0,0,0,6,0,0,3,0,0,3,3,0,3,0,6,3,3,0,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,3,1.5,1.25,1.25
"1552",2230,2,1,366.525,108,2.5,258.525,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,4,4,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"1553",2231,40,0,187.49175,27.23525,0.675,160.2565,0,0,27,13,12,0,1,1,0,0,27,1,1,1,15,28,1,7,4,1,2,2,2,1,4,5,1,1,1,4,4,1,1,1,2.5,2.5,2
"1554",2232,6,1,46.3,0,0,46.3,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,1,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1.75
"1555",2233,8,0,1135.48875,916.72625,1,218.7625,0,1,0,7,0,0,2,2,0,1,5,0,1,3,6,5,3,2,2,1,5,3,5,1,5,1,1,1,1,2,1,1,2,4,3,1.25,1.25
"1556",2234,10,3,240.631,69.106,3.8,171.525,0,2,7,1,0,2,4,0,2,4,7,5,4,4,12,16,4,0,2,3,3,3,4,2,1,1,2,2,3,2,5,2,2,4,1.5,3,1.75
"1557",2235,26,0,406.402307692308,73.4007692307692,1.96153846153846,333.001538461538,0,3,22,1,0,7,10,0,1,10,17,0,4,6,20,25,10,7,3,1,5,5,4,3,1,1,3,3,3,3,1,2,2,4,2,2.5,2
"1558",2236,3,0,183.483333333333,34.4166666666667,1,149.066666666667,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,1,1,2,2,3,1,1,1,1,1,1,2,1,1,1,3,1,1.25,1
"1559",2237,49,7,1262.3812244898,357.54306122449,2.20408163265306,904.838163265306,0,10,21,18,4,7,29,13,2,17,20,0,9,27,69,29,30,24,4,4,5,5,5,3,5,4,3,4,3,4,1,3,4,5,4,2.75,3.75
"1560",2238,2,0,133.89,0,0.5,133.89,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"1561",2242,26,7,391.825,85.6246153846154,4.65384615384615,306.200384615385,0,2,16,8,4,13,20,3,9,17,20,1,19,19,62,43,20,6,3,4,4,4,4,3,5,4,4,4,5,4,4,4,4,5,4,4.25,4
"1562",2243,36,0,238.479444444444,43.6322222222222,3.16666666666667,194.847222222222,0,1,29,6,0,1,23,0,3,23,35,0,21,23,67,39,23,1,4,1,3,3,3,4,1,1,2,4,4,4,1,4,4,1,2.5,2.75,3.25
"1563",2244,5,2,176.096,31.954,1.2,144.142,0,2,0,3,0,0,2,0,0,2,2,0,1,0,3,2,2,0,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"1564",2245,18,1,138.87,21.17,0.722222222222222,117.7,0,0,17,1,0,0,2,1,0,1,17,0,1,2,5,17,2,0,3,2,1,1,2,1,4,1,1,1,1,3,1,1,2,3,2.5,1.5,1.25
"1565",2246,17,10,458.281764705882,42.4270588235294,4,415.854705882353,0,4,11,2,0,8,14,2,2,11,9,3,13,13,40,22,13,2,3,5,5,5,3,3,5,1,3,3,3,2,5,4,3,2,4,3.25,2.75
"1566",2248,11,3,246.557272727273,63.1009090909091,2.90909090909091,183.456363636364,0,1,1,9,0,0,11,1,1,10,4,0,5,5,21,5,11,0,2,3,3,3,4,3,4,1,1,3,3,2,1,2,2,4,3.5,1.75,2
"1567",2250,11,0,151.900909090909,26.9163636363636,3.18181818181818,124.984545454545,0,0,7,4,3,3,5,0,4,5,8,0,2,2,12,15,5,0,2,1,1,2,2,2,1,4,2,2,4,2,1,2,2,3,1.5,2.25,2.5
"1568",2252,143,4,255.659650349651,53.0658741258741,2.66433566433566,202.593776223776,1,9,52,81,89,34,56,0,26,58,60,1,38,56,239,121,58,27,5,4,3,3,3,5,1,5,5,5,5,5,4,5,5,5,3,4.75,5
"1569",2254,4,0,286.5175,0,4.75,286.5175,0,0,4,0,0,4,4,0,1,3,3,0,3,3,10,8,3,0,1,1,3,4,1,2,1,1,3,2,3,2,1,2,2,3,1.5,2.25,1.75
"1570",2255,12,0,149.731666666667,15.335,1.91666666666667,134.396666666667,0,0,10,2,2,3,3,0,3,3,11,0,1,2,8,17,3,0,2,1,1,2,2,2,1,3,2,1,4,3,1,1,2,3,1.5,2.5,1.75
"1571",2261,9,0,91.8477777777778,1.82888888888889,0.777777777777778,90.0188888888889,0,0,0,9,0,0,4,0,0,4,5,0,3,0,7,5,4,0,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,3,1.5,1.25,1.5
"1572",2262,77,6,619.550909090909,162.457142857143,2.80519480519481,457.093766233766,9,4,34,30,14,26,52,1,4,56,35,6,19,49,134,71,57,21,5,4,5,5,5,5,4,5,5,5,4,4,5,4,5,5,4.5,4.5,4.75
